#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-01-03 09:00:00,0.20722813265887,0.31084219898831,1005.9830648645,5608.2202596298,,3613,12.74,12.65,0,0,989.94
2023-01-03 10:00:00,0.21040364811013,0.31560547216519,1005.2639059193,5618.2669529024,,3609,13.12,14.56,0,0,990.09
2023-01-03 11:00:00,0.2107783095137,0.31616746427055,1010.4358793651,5625.5720059158,,3609,12.85,15.18,0,0,989.41
2023-01-03 12:00:00,0.21269795759454,0.31904693639182,1006.4420716841,5639.8939497652,,3609,12.71,13.15,0,0,988.97
2023-01-03 13:00:00,0.21236164010553,0.3185424601583,1001.7710696854,5655.4580029976,,3609,12.7,12.93,0,0,988.86
2023-01-03 14:00:00,0.21284972699555,0.31927459049333,1003.8510136237,5662.2058834529,,3608,12.48,12.01,0,0,988.65
2023-01-03 15:00:00,0.21328460420075,0.31992690630113,1002.0413803191,5679.009300202,,3608,12.47,10.93,0,0,988.81
2023-01-03 16:00:00,0.21061527380074,0.31592291070111,1004.0902205223,5666.3101565491,,3609,12.34,10.56,0,0,989.29
2023-01-03 17:00:00,0.21297996293212,0.31946994439818,1005.3098829459,5677.8888608548,,3611,12.42,10.4,0,0,989.49
2023-01-03 18:00:00,0.21102104365119,0.31653156547679,1008.9604585202,5696.8695242919,,3612,12.38,10.28,0,0,989.63
2023-01-03 19:00:00,0.21288893252671,0.31933339879006,1008.5205878509,5692.2942224545,,3608,12.16,10.09,0,0,990.08
2023-01-03 20:00:00,0.21328519349793,0.31992779024689,1005.6721698936,5666.0651031174,,3614,12.3,10.01,0,0,990.46
2023-01-03 21:00:00,0.21095382361821,0.31643073542732,1006.2573107208,5657.4553550914,,3607,12.31,9.92,0,0,990.2
2023-01-03 22:00:00,0.20977274257718,0.31465911386577,1009.4364572668,5646.1473918232,,3607,12.58,9.78,0,0,990.47
2023-01-03 23:00:00,0.2066174858747,0.30992622881205,1013.3114121339,5643.699276611,,3607,12.41,9.49,0,0,990.68
2023-01-04 00:00:00,0.21021169207159,0.31531753810739,1007.5538844837,5621.2593306427,,3606,12.34,9.26,0,0,990.52
