#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-01-19 19:00:00,,,,,,3605,12.51,21.52,0,0,1003.57
2023-01-19 20:00:00,,,,,,3605,12.49,20.89,0,0,1003.46
2023-01-19 21:00:00,,,,,,3605,12.53,20.46,0,0,1003.92
2023-01-19 22:00:00,,,,,,3605,12.5,19.99,0,0,1004.08
2023-01-19 23:00:00,,,,,,3605,12.48,19.57,0,0,1004.04
2023-01-20 00:00:00,,,,,,3605,12.57,19.4,0,0,1004.11
2023-01-20 01:00:00,,,,,,3605,12.5,19.2,0,0,1004.28
2023-01-20 02:00:00,,,,,,3605,12.53,19.02,0,0,1005.02
2023-01-20 03:00:00,,,,,,3605,12.52,18.87,0,0,1005.17
2023-01-20 04:00:00,,,,,,3615,12.47,18.67,0,0,1005.04
2023-01-20 05:00:00,,,,,,3605,12.52,18.5,0,0,1004.69
2023-01-20 06:00:00,,,,,,3605,12.49,18.35,0,0,1004.94
2023-01-20 07:00:00,,,,,,3605,12.5,18.87,0,0,1005.33
2023-01-20 08:00:00,,,,,,3605,12.52,20.94,0,0,1006.09
2023-01-20 09:00:00,,,,,,3605,12.55,21.53,0,0,1006.8
2023-01-20 10:00:00,,,,,,321.25,12.54,21.705,0,0,1007.24
2023-01-20 11:00:00,,,,,,308.27272727273,12.541818181818,22.020909090909,0,0,1007.0545454545
2023-01-20 12:00:00,,,,,,308.5,12.523333333333,22.2975,0,0,1006.9675
2023-01-20 13:00:00,,,,,,308.58333333333,12.53,22.581666666667,0,0,1006.8991666667
2023-01-20 14:00:00,,,,,,313.4,12.512,22.796,0,0,1007.174
2023-01-20 15:00:00,,,,,,308.5,12.538333333333,23.181666666667,0,0,1007.5641666667
2023-01-20 16:00:00,,,,,,146.61111111111,12.510555555556,23.687777777778,0,0,1008.015
2023-01-20 17:00:00,,,,,,308.5,12.525833333333,23.209166666667,0,0,1008.3716666667
2023-01-20 18:00:00,,,,,,308.27272727273,12.532727272727,22.435454545455,0,0,1008.9763636364
2023-01-20 19:00:00,,,,,,309.41666666667,12.539166666667,21.456666666667,0,0,1009.27
2023-01-20 20:00:00,,,,,,308.58333333333,12.521666666667,20.87,0,0,1009.67
2023-01-20 21:00:00,,,,,,308.54545454545,12.513636363636,20.474545454545,0,0,1009.8
2023-01-20 22:00:00,,,,,,309.41666666667,12.533333333333,20.126666666667,0,0,1009.7591666667
2023-01-20 23:00:00,,,,,,308.58333333333,12.549166666667,19.811666666667,0,0,1009.3766666667
2023-01-21 00:00:00,,,,,,308.54545454545,12.517272727273,19.519090909091,0,0,1008.8863636364
2023-01-21 01:00:00,,,,,,308.66666666667,12.5275,19.265,0,0,1008.3383333333
2023-01-21 02:00:00,,,,,,308.5,12.540833333333,19.0125,0,0,1007.6566666667
2023-01-21 03:00:00,,,,,,308.54545454545,12.523636363636,18.801818181818,0,0,1006.9672727273
2023-01-21 04:00:00,,,,,,308.41666666667,12.5225,18.585833333333,0,0,1006.7658333333
2023-01-21 05:00:00,,,,,,308.5,12.521666666667,18.38,0,0,1006.9841666667
2023-01-21 06:00:00,,,,,,308.54545454545,12.528181818182,18.193636363636,0,0,1007.4018181818
2023-01-21 07:00:00,,,,,,308.5,12.539166666667,18.013333333333,0,0,1007.9441666667
2023-01-21 08:00:00,,,,,,309.5,12.545833333333,17.87,0,0,1008.4183333333
2023-01-21 09:00:00,,,,,,308.54545454545,12.545454545455,17.724545454545,0,0,1008.4927272727
2023-01-21 10:00:00,,,,,,308.58333333333,12.5375,17.731666666667,0,0,1007.9958333333
2023-01-21 11:00:00,,,,,,308.5,12.513333333333,17.736666666667,0,0,1007.56
2023-01-21 12:00:00,,,,,,308.54545454545,12.541818181818,17.733636363636,0,0,1007.1390909091
2023-01-21 13:00:00,,,,,,308.58333333333,12.531666666667,17.635833333333,0,0,1007.2708333333
2023-01-21 14:00:00,,,,,,308.41666666667,12.549166666667,17.500833333333,0,0,1007.9241666667
2023-01-21 15:00:00,,,,,,308.45454545455,12.554545454545,17.411818181818,0,0,1008.3072727273
2023-01-21 16:00:00,,,,,,308.5,12.52,17.380833333333,0,0,1008.57
2023-01-21 17:00:00,,,,,,309.58333333333,12.544166666667,17.325833333333,0,0,1009.02
2023-01-21 18:00:00,,,,,,308.54545454545,12.517272727273,17.283636363636,0,0,1009.5645454545
2023-01-21 19:00:00,,,,,,309.25,12.525833333333,17.234166666667,0,0,1010.0033333333
2023-01-21 20:00:00,,,,,,308.41666666667,12.525,17.215,0,0,1010.6783333333
2023-01-21 21:00:00,,,,,,308.63636363636,12.550909090909,17.111818181818,0,0,1011.3681818182
2023-01-21 22:00:00,,,,,,308.58333333333,12.545,17.019166666667,0,0,1011.6008333333
2023-01-21 23:00:00,,,,,,308.5,12.528333333333,16.9225,0,0,1011.7666666667
2023-01-22 00:00:00,,,,,,308.54545454545,12.540909090909,16.837272727273,0,0,1011.8545454545
2023-01-22 01:00:00,,,,,,308.5,12.54,16.750833333333,0,0,1012.1058333333
2023-01-22 02:00:00,,,,,,309.5,12.536666666667,16.656666666667,0,0,1012.3541666667
2023-01-22 03:00:00,,,,,,308.45454545455,12.535454545455,16.566363636364,0,0,1012.4818181818
2023-01-22 04:00:00,,,,,,308.33333333333,12.53,16.4925,0,0,1012.87
2023-01-22 05:00:00,,,,,,308.5,12.551666666667,16.405833333333,0,0,1013.4541666667
2023-01-22 06:00:00,,,,,,308.45454545455,12.52,16.331818181818,0,0,1014.2336363636
2023-01-22 07:00:00,,,,,,308.5,12.5325,16.2375,0,0,1014.9466666667
2023-01-22 08:00:00,,,,,,308.66666666667,12.524166666667,16.163333333333,0,0,1015.6733333333
2023-01-22 09:00:00,,,,,,308.27272727273,12.546363636364,16.123636363636,0,0,1016.2481818182
2023-01-22 10:00:00,,,,,,308.5,12.521666666667,16.1125,0,0,1016.3291666667
2023-01-22 11:00:00,,,,,,308.58333333333,12.538333333333,16.123333333333,0,0,1016.1375
2023-01-22 12:00:00,,,,,,308.54545454545,12.539090909091,16.132727272727,0,0,1016.0945454545
2023-01-22 13:00:00,,,,,,308.5,12.54,16.000833333333,0,0,1016.1658333333
2023-01-22 14:00:00,,,,,,308.33333333333,12.533333333333,15.886666666667,0,0,1016.2583333333
2023-01-22 15:00:00,,,,,,309.45454545455,12.542727272727,15.832727272727,0,0,1016.4909090909
2023-01-22 16:00:00,,,,,,308.5,12.530833333333,15.7225,0,0,1016.7066666667
2023-01-22 17:00:00,,,,,,308.66666666667,12.525833333333,15.6475,0,0,1017.2908333333
2023-01-22 18:00:00,,,,,,308.45454545455,12.533636363636,15.603636363636,0,0,1017.9190909091
2023-01-22 19:00:00,,,,,,308.58333333333,12.545,15.5725,0,0,1018.3033333333
2023-01-22 20:00:00,,,,,,308.5,12.553333333333,15.519166666667,0,0,1018.4525
2023-01-22 21:00:00,,,,,,308.63636363636,12.534545454545,15.476363636364,0,0,1018.2990909091
2023-01-22 22:00:00,,,,,,308.41666666667,12.535833333333,15.440833333333,0,0,1018.1941666667
2023-01-22 23:00:00,,,,,,308.41666666667,12.5375,15.4125,0,0,1017.8033333333
2023-01-23 00:00:00,,,,,,308.54545454545,12.521818181818,15.372727272727,0,0,1017.1345454545
2023-01-23 01:00:00,,,,,,308.66666666667,12.540833333333,15.340833333333,0,0,1016.8208333333
2023-01-23 02:00:00,,,,,,309.5,12.5325,15.31,0,0,1015.9466666667
2023-01-23 03:00:00,,,,,,308.45454545455,12.544545454545,15.280909090909,0,0,1015.1090909091
2023-01-23 04:00:00,,,,,,308.41666666667,12.545833333333,15.256666666667,0,0,1014.785
2023-01-23 05:00:00,,,,,,308.58333333333,12.528333333333,15.2225,0,0,1014.445
2023-01-23 06:00:00,,,,,,308.45454545455,12.52,15.192727272727,0,0,1014.4136363636
2023-01-23 07:00:00,,,,,,308.58333333333,12.538333333333,15.719166666667,0,0,1014.3975
2023-01-23 08:00:00,,,,,,308.5,12.5475,17.910833333333,0,0,1014.8675
2023-01-23 09:00:00,,,,,,308.45454545455,12.533636363636,19.656363636364,0,0,1015.0054545455
2023-01-23 10:00:00,,,,,,230.66666666667,12.525,21.025,0,0,1015.015
2023-01-23 11:00:00,,,,,,120.38461538462,12.541153846154,22.015769230769,0,0,1014.8961538462
2023-01-23 12:00:00,,,,,,99.272727272727,12.53303030303,22.590909090909,0,0,1015.1721212121
2023-01-23 13:00:00,,,,,,109.46666666667,12.534666666667,22.398,0,0,1015.7566666667
2023-01-23 14:00:00,,,,,,130.75,12.52,21.265,0,0,1016.355
2023-01-23 15:00:00,,,,,,148,12.546666666667,21.656666666667,0,0,1018.3533333333
2023-01-23 16:00:00,,,,,,222.41666666667,12.536666666667,21.755833333333,0,0,1018.4691666667
2023-01-23 17:00:00,,,,,,3609,12.52,21.22,0,0,1019.03
2023-01-23 18:00:00,,,,,,3608,12.54,19.8,0,0,1020.32
2023-01-23 19:00:00,,,,,,3608,12.55,18.84,0,0,1020.9
2023-01-23 20:00:00,,,,,,3608,12.59,18.28,0,0,1021.77
2023-01-23 21:00:00,,,,,,3609,12.53,17.89,0,0,1022.94
2023-01-23 22:00:00,,,,,,3608,12.49,17.52,0,0,1023.58
2023-01-23 23:00:00,,,,,,3608,12.47,17.38,0,0,1024.12
2023-01-24 00:00:00,,,,,,3609,12.51,17.31,0,0,1024.46
2023-01-24 01:00:00,,,,,,3608,12.53,17.26,0,0,1024.55
2023-01-24 02:00:00,,,,,,3609,12.53,17.21,0,0,1025.05
2023-01-24 03:00:00,,,,,,3608,12.58,17.14,0,0,1025.23
2023-01-24 04:00:00,,,,,,3608,12.57,17.07,0,0,1025.35
2023-01-24 05:00:00,,,,,,3608,12.51,16.97,0,0,1025.51
2023-01-24 06:00:00,,,,,,3609,12.57,16.86,0,0,1026.14
2023-01-24 07:00:00,,,,,,3608,12.53,17.81,0,0,1026.8
2023-01-24 09:00:00,,,,,,3660,12.46,20.04,0,0,1027.77
2023-01-24 10:00:00,,,,,,3605,12.58,20.2,0,0,1028.16
2023-01-24 11:00:00,,,,,,3605,12.5,20.32,0,0,1027.97
2023-01-24 12:00:00,,,,,,3605,12.53,20.99,0,0,1027.26
2023-01-24 13:00:00,,,,,,3605,12.53,21.11,0,0,1026.97
2023-01-24 14:00:00,,,,,,3605,12.53,21.13,0,0,1026.73
2023-01-24 15:00:00,,,,,,3605,12.51,22.06,0,0,1026.82
2023-01-24 16:00:00,,,,,,3605,12.5,22.33,0,0,1027.09
2023-01-24 17:00:00,,,,,,3605,12.56,21.65,0,0,1027.3
2023-01-24 18:00:00,,,,,,3605,12.57,21.22,0,0,1027.6
2023-01-24 19:00:00,,,,,,3605,12.51,20.76,0,0,1027.75
2023-01-24 20:00:00,,,,,,3605,12.58,20.44,0,0,1027.81
2023-01-24 21:00:00,,,,,,3605,12.49,20.17,0,0,1027.73
2023-01-24 22:00:00,,,,,,3605,12.57,19.94,0,0,1027.86
2023-01-24 23:00:00,,,,,,3605,12.53,19.74,0,0,1027.49
2023-01-25 00:00:00,,,,,,3605,12.56,19.55,0,0,1026.85
2023-01-25 01:00:00,,,,,,3605,12.52,19.45,0,0,1026.72
2023-01-25 02:00:00,,,,,,3605,12.53,19.31,0,0,1026.64
2023-01-25 03:00:00,,,,,,3605,12.59,19.19,0,0,1026.29
2023-01-25 04:00:00,,,,,,3605,12.53,19.04,0,0,1026.09
2023-01-25 05:00:00,,,,,,3605,12.55,18.84,0,0,1026.06
2023-01-25 06:00:00,,,,,,3605,12.47,18.67,0,0,1025.81
2023-01-25 07:00:00,,,,,,3605,12.46,19.03,0,0,1025.82
2023-01-25 08:00:00,,,,,,3605,12.47,20.51,0,0,1025.25
2023-01-25 09:00:00,,,,,,3605,12.5,21.44,0,0,1025.3
2023-01-25 10:00:00,,,,,,65,12.5,21.45,0,0,1024.99
2023-01-25 11:00:00,,,,,,3613,12.54,22.7,0,0,1024.89
2023-01-25 12:00:00,,,,,,3609,12.5,23.31,0,0,1023.67
2023-01-25 13:00:00,,,,,,3609,12.51,23.17,0,0,1022.69
2023-01-25 14:00:00,,,,,,3608,12.54,22.2,0,0,1021.92
2023-01-25 15:00:00,,,,,,3608,12.53,21.58,0,0,1021.56
2023-01-25 16:00:00,,,,,,3608,12.57,21.14,0,0,1021.18
2023-01-25 17:00:00,,,,,,3609,12.55,20.72,0,0,1021.06
2023-01-25 18:00:00,,,,,,3608,12.55,20.28,0,0,1020.9
2023-01-25 19:00:00,,,,,,3609,12.5,19.96,0,0,1020.48
2023-01-25 20:00:00,,,,,,3608,12.56,19.69,0,0,1019.89
2023-01-25 21:00:00,,,,,,3609,12.53,19.44,0,0,1019.39
2023-01-25 22:00:00,,,,,,3608,12.56,19.23,0,0,1018.98
2023-01-25 23:00:00,,,,,,3608,12.56,19.02,0,0,1018.65
2023-01-26 00:00:00,,,,,,3620,12.54,18.82,0,0,1018.38
2023-01-26 01:00:00,,,,,,3608,12.54,18.61,0,0,1017.6
2023-01-26 02:00:00,,,,,,3609,12.55,18.44,0,0,1017.3
2023-01-26 03:00:00,,,,,,3608,12.58,18.26,0,0,1016.81
2023-01-26 04:00:00,,,,,,3609,12.49,18.09,0,0,1015.98
2023-01-26 05:00:00,,,,,,3608,12.55,17.93,0,0,1015.23
2023-01-26 06:00:00,,,,,,3608,12.57,17.74,0,0,1014.9
2023-01-26 07:00:00,,,,,,3609,12.5,17.64,0,0,1014.86
2023-01-26 08:00:00,,,,,,3608,12.55,18.73,0,0,1014.63
2023-01-26 09:00:00,,,,,,3609,12.53,18.56,0,0,1014.56
2023-01-26 10:00:00,,,,,,3608,12.51,18.75,0,0,1014.62
2023-01-26 11:00:00,,,,,,3609,12.51,18.89,0,0,1014.37
2023-01-26 12:00:00,,,,,,3608,12.54,19.03,0,0,1013.68
2023-01-26 13:00:00,,,,,,3608,12.57,20.68,0,0,1012.72
2023-01-26 14:00:00,,,,,,3609,12.58,21.64,0,0,1011.86
2023-01-26 15:00:00,,,,,,3619,12.57,22.12,0,0,1011.61
2023-01-26 16:00:00,,,,,,3609,12.52,22.4,0,0,1011.41
2023-01-26 17:00:00,,,,,,3608,12.53,22.68,0,0,1011.41
2023-01-26 18:00:00,,,,,,3609,12.53,22.26,0,0,1011.75
2023-01-26 19:00:00,,,,,,3608,12.51,21.35,0,0,1012.07
2023-01-26 20:00:00,,,,,,3609,12.54,20.69,0,0,1012.17
2023-01-26 21:00:00,,,,,,3608,12.52,20.2,0,0,1012.13
2023-01-26 22:00:00,,,,,,3609,12.57,19.88,0,0,1012.08
2023-01-26 23:00:00,,,,,,3608,12.59,19.5,0,0,1012.06
2023-01-27 00:00:00,,,,,,3608,12.6,19.1,0,0,1011.75
2023-01-27 01:00:00,,,,,,3609,12.56,18.85,0,0,1011.47
2023-01-27 02:00:00,,,,,,3609,12.51,18.7,0,0,1011.53
2023-01-27 03:00:00,,,,,,3609,12.52,18.54,0,0,1011.55
2023-01-27 04:00:00,,,,,,3607,12.58,18.38,0,0,1011.36
