datetime,uncorrectedNeutrons,incoming,TAVG,PREC,RHAVG,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],pressureCorrectedNeutrons,PRESS(hPa),incoming_correction,press_correction,RH_correction,corrected_neutrons,movingAvg_neutrons,soil_moisture
2023-03-22 00:00:00,758.0,152.469,7.9,0.0,92.0,0.11858684993047,0.16009224740613,760.33298237385,1014.56,0.9839981969032068,1.0180978160444574,1,759.3692627661998,756.6297713218837,0.23006818856114492
2023-03-22 01:00:00,735.0,152.676,7.6,0.0,95.1,0.11834255704192,0.1597624520066,760.70747035136,1014.55,0.9826640800363845,1.01802044355063,1,735.2735101256352,757.3849559934438,0.22918029038813995
2023-03-22 02:00:00,776.0,152.37,7.4,0.0,94.4,0.1173696221663,0.15844898992451,762.59381662573,1014.31,0.9846375341841244,1.016165266697228,1,776.4302629188659,757.2185556370755,0.22937558169169006
2023-03-22 03:00:00,781.0,152.352,7.8,0.0,94.9,0.11699633755568,0.15794505570017,762.43051073038,1014.01,0.9847538665960082,1.0138510490997388,1,779.7455115283954,760.3090870324463,0.2257805394481158
2023-03-22 04:00:00,795.0,153.401,7.4,0.0,95.0,0.11613704071938,0.15678500497116,764.42424423813,1014.03,0.9780198374432698,1.0140051661718026,1,788.4151483898559,761.4161995125955,0.22450899225122609
2023-03-22 05:00:00,801.0,152.394,7.1,0.0,95.2,0.11521982286325,0.15554676086538,765.32511469027,1014.15,0.9844824670501138,1.0149303607079325,1,800.3440974604396,763.9735344738023,0.22160402177419986
2023-03-22 06:00:00,759.0,153.161,7.1,0.0,95.4,0.11422926104035,0.15420950240448,765.75790131099,1014.41,0.9795523735391845,1.0169378458428064,1,756.073205403594,765.3072334320467,0.22010658706838915
2023-03-22 07:00:00,755.0,152.814,9.4,0.0,92.2,0.1131384330133,0.15273688456796,766.96403513393,1014.78,0.9817766767680647,1.0198014994753328,1,755.919081974076,764.8591221587434,0.22060838288781365
2023-03-22 08:00:00,809.0,153.628,11.9,0.0,82.4,0.1122966108846,0.15160042469421,769.03781230685,1014.98,0.976574719996583,1.0213527764263461,1,806.9186870399399,765.091003351422,0.22034855452003754
2023-03-22 09:00:00,759.0,153.194,14.5,0.0,73.6,0.11052925641649,0.14921449616227,770.74023096317,1015.48,0.9793413650902454,1.0252413004933039,1,762.0824620119561,769.6848691030042,0.21527407470182566
2023-03-22 10:00:00,728.0,153.062,16.6,0.0,62.7,0.11043121171216,0.14908213581142,770.69619563464,1015.5,0.9801859448042951,1.0253971490151663,1,731.6981477675407,772.9546152535808,0.2117449786626777
2023-03-22 11:00:00,756.0,153.108,18.4,0.0,51.6,0.11044323989877,0.14909837386334,770.02485998243,1015.57,0.9798914562507186,1.0259428054301798,1,760.0163177700524,772.4670574226252,0.21226693779943995
2023-03-22 12:00:00,761.0,153.172,19.4,0.0,47.4,0.11092151229101,0.14974404159286,770.70549298213,1015.16,0.9794820272872002,1.0227509431524906,1,762.344053245971,773.4192294831138,0.21124895972084376
2023-03-22 13:00:00,752.0,152.677,20.8,0.0,45.6,0.11064594019252,0.1493720192599,770.44526925256,1014.62,0.9826576438077448,1.0185621745142588,1,752.6752256728656,775.149725039575,0.20941323270704637
